Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder capacity of engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number of passenger seats ,Taxable Value (HK$),Year Of Manufacture
Private Car,B.M.W.,X3 XDRIVE20I,Petrol,"1,997",STATION WAGGON,Others,-,4,"<= 150,000",2013
Private Car,AUDI,Q5 45 TFSI QUATTRO,Petrol,"1,984",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,VOLVO,XC90 T6 INSCRIPTION,Petrol,"1,969",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,MERCEDES-MAYBACH S560 FACELIFT (X222),Petrol,"3,982",SALOON,Brand New,-,4,"> 500,000",2018
Private Car,NISSAN,SERENA,Petrol,"1,997",STATION WAGGON,Brand New,-,7,"> 150,000 and <= 300,000",2018
Private Car,VOLVO,XC60 T5 MOMENTUM,Petrol,"1,969",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,BMW I,I3 94AH (I01),Electric,-,SALOON,Brand New,-,3,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,GLC250 COUPE (C253),Petrol,"1,991",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,ALPHARD SC,Petrol,"2,493",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,LEXUS,NX300H,Petrol,"2,494",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,TESLA,MODEL S 100 KWH DUAL MOTOR,Electric,-,SALOON,Brand New,-,4,"> 500,000",2017
Private Car,MINI,5-DOOR COOPER AUTOMATIC,Petrol,"1,499",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,HONDA,FREED G L PACKAGE,Petrol,"1,496",STATION WAGGON,Others,-,6,"<= 150,000",2009
Private Car,B.M.W.,218IA GRAN TOURER (F46),Petrol,"1,499",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,AUDI,A4 AVANT 40 TFSI,Petrol,"1,984",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,HONDA,VEZEL,Petrol,"1,496",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,HONDA,FIT RS,Petrol,"1,496",STATION WAGGON,Others,-,4,"<= 150,000",2011
Private Car,BENTLEY,MULSANNE V8 AUTO,Petrol,"6,752",SALOON,Others,-,4,"> 300,000 and <= 500,000",2011
Private Car,TOYOTA,NOAH,Petrol,"1,987",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,MERCEDES BENZ,GLA250 FACELIFT (X156),Petrol,"1,991",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Others,-,6,"> 150,000 and <= 300,000",2011
Private Car,LEXUS,IS300,Petrol,"1,998",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,VOLVO,XC60 T5 INSCRIPTION,Petrol,"1,969",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,SUBARU,XV 2.0I-S EYESIGHT AWD CVT,Petrol,"1,995",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,VOLKSWAGEN,TIGUAN ALLSPACE7 330 TRAIL,Petrol,"1,984",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,VELLFIRE VL,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MASERATI,QUATTROPORTE GRANSPORT,Petrol,"2,979",SALOON,Brand New,-,4,"> 500,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,VOLVO,XC90 T6 INSCRIPTION,Petrol,"1,969",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,GLC250 COUPE (C253),Petrol,"1,991",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,HONDA,FREED SPIKE G AERO,Petrol,"1,496",STATION WAGGON,Others,-,4,"<= 150,000",2011
Private Car,TOYOTA,ALPHARD,Petrol,"2,362",STATION WAGGON,Others,-,6,"> 150,000 and <= 300,000",2011
Private Car,B.M.W.,520IA SALOON (G30),Petrol,"1,998",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,NISSAN,SERENA HIGHWAY STAR,Petrol,"1,997",STATION WAGGON,Brand New,-,7,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,CAMRY 2.5,Petrol,"2,494",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,AUDI,Q5 45 TFSI QUATTRO,Petrol,"1,984",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,B.M.W.,218IA GRAN TOURER (F46),Petrol,"1,499",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,VELLFIRE,Petrol,"2,493",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2017
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,MERCEDES-MAYBACH S560 FACELIFT (X222),Petrol,"3,982",SALOON,Brand New,-,3,"> 500,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,ESTIMA,Petrol,"2,362",STATION WAGGON,Others,-,6,"<= 150,000",2009
Private Car,TOYOTA,COROLLA,Petrol,"1,496",SALOON,Brand New,-,4,"<= 150,000",2018
Private Car,MERCEDES BENZ,CLA250 FACELIFT (C117),Petrol,"1,991",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,PRIUS,Petrol,"1,797",SALOON,Others,-,4,"<= 150,000",2012
Private Car,HONDA,STEPWGN SPADA,Petrol,"1,496",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,HONDA,ODYSSEY,Petrol,"2,356",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,HONDA,JAZZ,Petrol,"1,317",STATION WAGGON,Brand New,-,4,"<= 150,000",2018
Private Car,B.M.W.,X5 XDRIVE35IA (F15),Petrol,"2,979",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,RAV4,Petrol,"1,987",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,PORSCHE,718 BOXSTER GTS,Petrol,"2,497",CONVERTIBLE,Brand New,-,1,"> 500,000",2018
Private Car,MERCEDES BENZ,GLC250 COUPE (C253),Petrol,"1,991",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,AUDI,A5 CABRIOLET 45 TFSI QUATTRO,Petrol,"1,984",CONVERTIBLE,Brand New,-,3,"> 300,000 and <= 500,000",2017
Private Car,LEXUS,ES250,Petrol,"2,487",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,HONDA,STEPWGN SPADA,Petrol,"1,496",STATION WAGGON,Brand New,-,7,"> 150,000 and <= 300,000",2018
Private Car,MERCEDES BENZ,E250 (W213),Petrol,"1,991",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,HONDA,FREED G JUST SELECTION,Petrol,"1,496",STATION WAGGON,Others,-,6,"<= 150,000",2011
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,V260 AMG EXCLUSIVE LONG,Petrol,"1,991",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MINI,ONE COUNTRYMAN AUTOMATIC,Petrol,"1,499",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,AUDI,A8L 55 TFSI QUATTRO,Petrol,"2,995",SALOON,Brand New,-,4,"> 500,000",2018
Private Car,TOYOTA,SPADE,Petrol,"1,496",SALOON,Brand New,-,4,"<= 150,000",2018
Private Car,TOYOTA,VELLFIRE,Petrol,"2,493",STATION WAGGON,Others,-,6,"> 150,000 and <= 300,000",2015
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,VOLKSWAGEN,TIGUAN ALLSPACE7 330 TRAIL,Petrol,"1,984",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,SPADE,Petrol,"1,496",SALOON,Brand New,-,4,"<= 150,000",2018
Private Car,MINI,5-DOOR COOPER S AUTOMATIC,Petrol,"1,998",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,SIENTA,Petrol,"1,496",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,MERCEDES BENZ,E200 AVANTGARDE (W213),Petrol,"1,991",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,VELLFIRE,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MINI,NEW MINI COOPER CLUBMAN AUTOMATIC,Petrol,"1,499",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,VOXY,Petrol,"1,986",STATION WAGGON,Others,-,7,"<= 150,000",2009
Private Car,TOYOTA,RAV4,Petrol,"1,987",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,NOAH,Petrol,"1,987",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,ESTIMA,Petrol,"2,362",STATION WAGGON,Others,-,6,"<= 150,000",2010
Private Car,BMW I,I3 94AH (I01),Electric,-,SALOON,Brand New,-,3,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,B.M.W.,X5 XDRIVE35IA (F15),Petrol,"2,979",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,B.M.W.,X5 XDRIVE35IA M SPORT EDITION (F15),Petrol,"2,979",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,CLA250 FACELIFT (C117),Petrol,"1,991",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,MASERATI,LEVANTE S GRANSPORT,Petrol,"2,979",STATION WAGGON,Brand New,-,4,"> 500,000",2018
Private Car,LEXUS,ES250,Petrol,"2,487",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,CAMRY 2.5,Petrol,"2,494",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,HONDA,N-BOX CUSTOM G TURBO PACKAGE,Petrol,659,STATION WAGGON,Others,-,3,"<= 150,000",2013
Private Car,TOYOTA,VELLFIRE,Petrol,"2,362",STATION WAGGON,Others,-,6,"> 150,000 and <= 300,000",2012
Private Car,HONDA,STEPWGN SPADA,Petrol,"1,496",STATION WAGGON,Others,-,7,"> 150,000 and <= 300,000",2015
Private Car,PORSCHE,718 CAYMAN GTS,Petrol,"2,497",SALOON,Brand New,-,1,"> 500,000",2018
Private Car,TOYOTA,PRIUS,Petrol,"1,797",SALOON,Others,-,4,"<= 150,000",2013
Private Car,MERCEDES BENZ,GLC250 COUPE (C253),Petrol,"1,991",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,MAZDA,MAZDA3 GVC 1.5 I-PLUS,Petrol,"1,496",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
